,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49
M,-0.0102115127634,-0.00949385061794,-0.00914844503713,-0.00780569799984,-0.00758832371595,-0.00858503980147,-0.00951345846899,-0.00763398372338,-0.0105180792792,-0.00769490549529,-0.00590185021364,-0.00923626604814,-0.00912294782036,-0.0101203061909,-0.00827019130992,-0.00617193940041,-0.00981002367607,-0.00804718739004,-0.0097352810923,-0.00947349022596,-0.00828490741553,-0.00692861502917,-0.00840044754781,-0.00989653177169,-0.00958222424491,-0.00679491676207,-0.00835162572621,-0.00975193230647,-0.00954050673645,-0.0101436466666,-0.00916227160711,-0.00802293659329,-0.0101393611891,-0.00672352822959,-0.0098531060429,-0.00756192529044,-0.0097345966504,-0.0095128608245,-0.00885635034227,-0.00728162180022,-0.00828594428638,-0.0111655118257,-0.0107917081488,-0.00694856971477,-0.00871928492309,-0.00985093190244,-0.00889896789851,-0.00977676983301,-0.00961213148631,-0.010601145789
N,-0.0183025678547,-0.0117615512702,-0.0107984269155,-0.0228861095972,-0.0195454311663,-0.0245751919239,-0.0276364497815,-0.0287107669626,-0.0199384604725,-0.0232171183281,-0.0257126693317,-0.0090690886466,-0.0149173000203,-0.019847557938,-0.00754573066529,-0.0239483105097,-0.0210231806461,-0.0178556400343,-0.0171022600709,-0.023211326842,-0.025063116059,-0.0374087357119,-0.00753525993388,-0.00964938006949,-0.0100548108615,-0.0219155057639,-0.011155494613,-0.0150012792349,-0.0122355969774,-0.0225165974533,-0.0185654237019,-0.0246563590974,-0.0312219230588,-0.0140947774536,-0.0226382470055,-0.0292637786323,-0.0161202207817,-0.01735356142,-0.0242001152415,-0.0313165990252,-0.00877632424667,-0.0199666880056,-0.0153701997844,-0.0322136741011,-0.020702102307,-0.0282863765399,-0.0150852547611,-0.0218655632493,-0.0150159276578,-0.010788167626
P,0.00686716456634,0.00506935261751,0.00194539815277,0.00776389210438,0.00562189197343,0.0086935024334,0.0115721600036,0.0119387208124,0.00667694104964,0.00818699499958,0.00905676654105,0.00237350890947,0.00756123530707,0.00551402576856,0.000273734232792,0.00879987401423,0.00727788264142,0.00491566061296,0.00763311833713,0.0104200667974,0.00731452301137,0.0127709739701,0.00234537175356,0.00243057219345,0.0015836126342,0.00537679806758,0.00285870195086,0.00555271184066,0.00366259781922,0.00817543348778,0.00773614496241,0.0097293143196,0.0131370285255,0.0037145406044,0.0104795043166,0.0110367069592,0.00582458814159,0.00493086404612,0.0107872791094,0.0123395931277,0.000517859127782,0.00938354873848,0.00564350413493,0.011210541055,0.00822009789405,0.0111812021255,0.00385617976519,0.00853705077163,0.00546091904365,0.00178494188698
Q,-0.0100061225008,-0.0144133892832,-0.0163009332112,-0.0180428912496,-0.0156741454516,-0.0144442344507,-0.0148141922446,-0.0117353295138,-0.014385618301,-0.0142585086995,-0.0171399595179,-0.0140310779912,-0.0139402013065,-0.0120175405005,-0.0117975766995,-0.0140590936577,-0.0184592578764,-0.0166533942899,-0.0142196138073,-0.0165436753991,-0.0117488749757,-0.0144584544465,-0.0132462099187,-0.0156846803413,-0.0141693208022,-0.0130252999707,-0.017283445121,-0.012152659106,-0.0149352271353,-0.0123975883032,-0.0155138651162,-0.011166911817,-0.0103554715262,-0.0139602879376,-0.0125877276931,-0.0150322239289,-0.0121252152746,-0.0142604961427,-0.0134729047296,-0.0128186314943,-0.0115905242497,-0.0129761055479,-0.0124165932354,-0.0142501197669,-0.0162401271576,-0.0178165689923,-0.0159788530117,-0.0138839775633,-0.0115548716613,-0.012545292516
R,0.0199805273796,0.0175871404275,0.015777667354,0.0299042266304,0.0168296268349,0.0316099202526,0.0326916186665,0.032587791639,0.0231176523774,0.0242509035537,0.0280390300942,0.00953473937273,0.0229257417883,0.0209233256787,0.0130699185234,0.0272373250797,0.0238329173233,0.0181557737137,0.0266318292945,0.0303479619927,0.0259941410221,0.0410943979416,0.014311888328,0.0113042022228,0.0137599560694,0.0232025715592,0.0167740523465,0.0187594456747,0.0205485127138,0.0230337060533,0.0264461968047,0.0273153602899,0.0369916483694,0.0148609251508,0.0311294920331,0.0339918526087,0.0210383154793,0.0189280374752,0.0283322362643,0.0322549035343,0.0124764151175,0.0276157752857,0.017245911602,0.0336361224938,0.0247411907053,0.0311612867911,0.0187983085458,0.0279825769958,0.0170923813914,0.0163010311115
S,-0.0181438473996,-0.0185682914306,-0.0159848442146,-0.0204041663687,-0.0210816735491,-0.0252106611621,-0.0230917048601,-0.019103497552,-0.0208102159714,-0.0207829040221,-0.0222954882312,-0.0170473396654,-0.0137107200758,-0.017406872895,-0.0172739133972,-0.0112423746003,-0.0295503700527,-0.0211174655131,-0.016295222913,-0.0206862157469,-0.0235281660701,-0.0238248445144,-0.0156221771142,-0.0165060599544,-0.0130947184379,-0.0153521161152,-0.0216148649449,-0.0202119474452,-0.0228400547912,-0.0201056726103,-0.0198519734854,-0.0223859847583,-0.017862733067,-0.0188027978678,-0.0218207552113,-0.020526474279,-0.0166992457162,-0.0187169601649,-0.0215464573654,-0.0159977380974,-0.0167951405722,-0.0142514496078,-0.0174007011581,-0.0192295952023,-0.0256329642951,-0.0275023153882,-0.021061398224,-0.0140308052779,-0.015067742124,-0.0190154787977
T,-0.0142726925918,-0.0183258159593,-0.0195166184838,-0.0200319983152,-0.0180167256893,-0.0193075928491,-0.0176190662293,-0.0169411671499,-0.0203907601453,-0.0170732167917,-0.0187155485285,-0.0159529615295,-0.0159072315868,-0.0177196627508,-0.0177408425865,-0.0191267297944,-0.0183725875417,-0.0237659105973,-0.0172087480541,-0.0185157504641,-0.0147171135349,-0.0195114072433,-0.0142954342238,-0.0189477057726,-0.0198657363243,-0.0183076323261,-0.0215161958372,-0.0158702105917,-0.017686074538,-0.0185939548293,-0.0178652626945,-0.0152400717649,-0.0174662293963,-0.017681579711,-0.0174139400515,-0.024771655269,-0.0182970654971,-0.0191029252112,-0.0199972004912,-0.0219766360491,-0.0166472555304,-0.017514186038,-0.0199145692999,-0.0179718751615,-0.0169389236757,-0.018246198658,-0.0190962563894,-0.0186166620492,-0.0170286268257,-0.0171134791553
V,0.0241781705294,0.021641892754,0.0226203696982,0.0281877733641,0.0183662745147,0.0270136108139,0.029353816702,0.0277766741553,0.0293850179007,0.0222899836649,0.0265997394727,0.0191391171574,0.0225078523311,0.0252483083735,0.0187742821248,0.0226287945963,0.0267886853952,0.0209152361457,0.0215400214423,0.0296531542558,0.0278091476571,0.0299096644321,0.0201027876135,0.0160769692163,0.0214524215053,0.0244905327404,0.0158669357757,0.0197011783941,0.01917991062,0.0255577158737,0.0232983827503,0.0250863535463,0.0305370680062,0.0175407641898,0.0274635826084,0.0290186286588,0.0233569523482,0.0197856559708,0.024958982053,0.0256113742825,0.018756896458,0.0260772888636,0.0160424213654,0.0332059096402,0.024619940326,0.032599253668,0.0205025992931,0.0268243029066,0.0193982228894,0.0202061278241
W,0.00567141701545,0.00512836907872,0.00364214086783,0.00537922197641,0.00509415794,0.00524891796059,0.00627971840435,0.00645987561611,0.00448720800514,0.00480652983436,0.00514778429909,0.00396134884054,0.00445711664053,0.00488922564229,0.00407716471468,0.00530039193188,0.0034914381655,0.00454593461201,0.00459941924331,0.00531918796722,0.00596089151482,0.00664310164076,0.00449028142269,0.0035648894097,0.00390790243195,0.0055136281623,0.00322456626666,0.00421920040026,0.00365443777208,0.00597395017842,0.0046866142996,0.00511769903265,0.00693781304303,0.00487071535118,0.00561821359622,0.00562797998804,0.00555695006554,0.0048230623558,0.0058073117689,0.00655851637828,0.00403481220058,0.00599389990868,0.004390303828,0.00632718798136,0.00439345891895,0.00627068193065,0.00420671892809,0.00552785781024,0.00512177441032,0.00410864800186
Y,0.0109295774907,0.0161318748476,0.0155493606656,0.0127278344524,0.00967520961399,0.00906517306669,0.00805871191577,0.00746833518863,0.011730657129,0.0102146270554,0.0115222904279,0.0134240958151,0.0153952121751,0.0110203736604,0.0118589426955,0.0115776782568,0.00737599886564,0.0133718038951,0.0124529741218,0.0130081691455,0.00707230783254,0.00378626275689,0.0170149941757,0.0164483506925,0.0156120559519,0.0100138503244,0.0136623137627,0.013776689622,0.0148464313314,0.00757509728005,0.0110524896255,0.00867035484691,0.00933240540762,0.0110474174723,0.0089180851967,0.00929315542267,0.0126369722556,0.00894611069711,0.0087894879939,0.00698449172946,0.012757527043,0.00973398080833,0.0119344985664,0.00754788783338,0.011296603269,0.0110598329964,0.0120713388352,0.00842960923281,0.0146398980067,0.014679182729
