,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
M,-0.00364858901211,-0.00259671411577,-0.00387106902302,-0.00352906094602,-0.00237922077997,-0.00350355935651,-0.00343177859234,-0.0035873341137,-0.00254950313941,-0.00400717868982,-0.00321274794276,-0.0036859607177,-0.00433578609034,-0.00368495693616,-0.00292478203686,-0.00429611313718,-0.0030960883519,-0.00414683459177,-0.0043815261323,-0.00440917343092,-0.00371616154673,-0.00477493609458,-0.00321577006835,-0.00341177768202,-0.00494368091829,-0.00346885275423,-0.00397579185449,-0.00282336106025,-0.003716038573,-0.00372103845331
N,0.0024360286249,0.000436368842205,-0.00104381170228,0.00196880075025,-0.0008427912549,0.00151716662128,0.00100814295233,0.000934357101909,0.00203406167092,0.00243681978661,0.000927438419347,0.00183108900248,0.0030552705162,0.00143102352116,-0.000207391797167,0.00177055290597,0.000958957429233,0.00170510043173,0.00188287202713,0.00140144046021,-0.000495789864874,0.00327390095772,0.00253546191274,-2.22735848762e-06,0.00175007758099,0.000711270898978,0.00230514306512,0.000445730002284,0.0015408929825,0.00060714219776
P,-0.00625799314174,-0.00553509547623,-0.00514805179971,-0.00458229543094,-0.00413526153201,-0.00622203196023,-0.0066142496934,-0.00621653519958,-0.00565085200075,-0.0053342903241,-0.00499493436955,-0.00517171834109,-0.00514172736586,-0.00569771268775,-0.0054230218828,-0.0073969497589,-0.00494832562043,-0.00648021497926,-0.00508949903081,-0.00450347598343,-0.00577182047637,-0.00478541730598,-0.00584767400161,-0.00449054587821,-0.0050080114864,-0.00667139467415,-0.00553636111647,-0.00583813582969,-0.00613293068728,-0.00631789615196
Q,-0.0222962294048,-0.0233162157021,-0.0245628597212,-0.0231599855602,-0.0242538798066,-0.0231746519483,-0.0235047266461,-0.0221649489027,-0.0231212570026,-0.0223911300439,-0.0230895545763,-0.0228419346003,-0.0238378386642,-0.022571342364,-0.0242038492111,-0.0244392734101,-0.0229307221386,-0.022667348633,-0.0231684866601,-0.0231653811073,-0.023143590273,-0.0229626493704,-0.0235817328887,-0.0236541880806,-0.0231470147656,-0.0235000242271,-0.0233568867464,-0.0238400040327,-0.0237117031839,-0.0226834602196
R,-0.004161840367,-0.00340595166337,-0.00308252893312,-0.004038750596,-0.00365763947937,-0.00354907842549,-0.00432764563653,-0.00393196582454,-0.00628802201105,-0.00500663837001,-0.00444433486165,-0.00304140145098,-0.00646922529874,-0.00212357916596,-0.00380878668114,-0.00427773419775,-0.00530362583097,-0.00364441543913,-0.00467998366232,-0.00393729209956,-0.00462513940348,-0.00480363651538,-0.00403435388417,-0.00355741635563,-0.00194316411634,-0.00363798963461,-0.00471889892281,-0.00334112122235,-0.00433565240355,-0.00269398164478
S,-0.0161200515759,-0.0178211717619,-0.0164199092546,-0.0176619433867,-0.0187597029569,-0.0183323740381,-0.0168853764632,-0.0181249054629,-0.0167453143408,-0.0174500061054,-0.0166726290173,-0.0180326968356,-0.0164506408514,-0.0195232361589,-0.0178509944513,-0.0182948511828,-0.0169171688386,-0.0179158605188,-0.0180167169901,-0.0172912534114,-0.019190412193,-0.0162649956569,-0.0163646219295,-0.0186916860843,-0.0156347090703,-0.0190613389501,-0.0164081811696,-0.0175997117833,-0.0168106799809,-0.0177581162042
T,-0.0192246523343,-0.0192950909577,-0.020018669001,-0.0187013676949,-0.017688866439,-0.0197546930486,-0.0192033829909,-0.0184799776783,-0.0188387068179,-0.019283488357,-0.0182588833913,-0.018896400971,-0.0184884088737,-0.0192874605378,-0.0199431355739,-0.0189358956265,-0.0188092571612,-0.0191856872867,-0.0168978137903,-0.0196640609257,-0.0175584474339,-0.0189785878196,-0.0188674063531,-0.0198857428806,-0.0211132150494,-0.0205428910639,-0.0178799134584,-0.0198795137896,-0.0188925775152,-0.0201679682875
V,0.0113861877267,0.0110896915185,0.0127745834325,0.00956655748946,0.0123167427991,0.011193162031,0.0127692333786,0.0107303483774,0.0125360410401,0.0114972278444,0.0131326387691,0.0112516126573,0.0123616200879,0.011149242857,0.0120895976591,0.0109143696699,0.0128970387093,0.0106826333814,0.0127825944905,0.0103912147758,0.0130331213308,0.0117675813241,0.0112282241932,0.00995613979791,0.0103848701363,0.0110438809107,0.0126792167005,0.0115931631258,0.0123736484833,0.0105926793496
W,-0.00441909076283,-0.00347378196885,-0.00500415014857,-0.00432011846248,-0.00413594139922,-0.00406264849131,-0.0037992818659,-0.00408699300067,-0.00487535139089,-0.00438105090862,-0.00412463652814,-0.00358617371607,-0.00457457077211,-0.00371568625027,-0.0045440998638,-0.00318941746576,-0.00403756777585,-0.00411815774395,-0.00474515799028,-0.00401395253662,-0.00330449917306,-0.00407019597097,-0.00377841913996,-0.00390064199676,-0.00415124377063,-0.00404333687929,-0.00411496194027,-0.00372082291038,-0.00436700190983,-0.00459346884918
Y,0.0168676975844,0.0175136819319,0.0162541567731,0.0158153893823,0.0162731500061,0.0172667999272,0.0157107070177,0.0170476611463,0.0165432477687,0.0161073901178,0.0172231548723,0.0169603957075,0.017298691474,0.0168499133172,0.0155195229753,0.0186339922436,0.0163741119801,0.0182708901804,0.0171212703052,0.0170665356845,0.0181992153178,0.0183046804397,0.0172685258483,0.0163246626081,0.0173831391725,0.0168206909432,0.0170314548079,0.015771058779,0.0155300201034,0.0175064868581
