,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49
M,-0.00917105576846,-0.0106313168938,-0.0111748164057,-0.00855417183438,-0.0077152506868,-0.011496404653,-0.0083815697332,-0.0110863015413,-0.00894435534357,-0.00902337518557,-0.00877378279603,-0.0122998975361,-0.0109744234137,-0.00990617153267,-0.00852328271455,-0.0107830065192,-0.00891091325663,-0.0104623808607,-0.0085447315292,-0.00946439848744,-0.00930301810578,-0.00913024820437,-0.0137290804549,-0.0118618813484,-0.0116702060176,-0.0129522886227,-0.00955897881325,-0.0119488871734,-0.00885407938451,-0.00947463018229,-0.00876747951385,-0.0105426483611,-0.00901780271906,-0.00769454149186,-0.0109190780622,-0.0101364316144,-0.0105424496859,-0.0101281162594,-0.0121789576113,-0.0096275870387,-0.0111040361731,-0.0116343964354,-0.0128056864152,-0.0129711354199,-0.00861439285792,-0.00963444584555,-0.00978392625206,-0.00909231557686,-0.0108140674429,-0.0113784612855
N,-0.026084544915,-0.0219714954249,-0.0209033565468,-0.0205750975882,-0.024772088559,-0.00458843398974,-0.00913963226784,-0.0161231659744,-0.0180466266145,-0.0132350379665,-0.0161727433121,-0.0205277573104,-0.0185693136165,-0.0161497427122,-0.0220050719978,-0.00261152484256,-0.0185949114112,-0.0336049905693,-0.0244131168407,-0.0262333836763,-0.0202645400429,-0.0188334996555,-0.023145094733,-0.0108365066901,-0.0168922825295,-0.0196396694444,-0.0165716192243,-0.0142628662047,-0.0210348259565,-0.0197583301228,-0.02914643165,-0.0147090199,-0.0209797574471,-0.0187618804548,-0.0204015185928,-0.0127494519541,-0.0170270636573,-0.0265572149638,-0.00934205131139,-0.016739517014,-0.0237905097011,-0.0265198877835,-0.0145136301549,-0.00762769560831,-0.014781197844,-0.0166763876954,-0.0354575247911,-0.0186936433899,-0.0153386466661,-0.011879249489
P,0.0156765471064,0.0145994627665,0.0122724859395,0.0127695908282,0.0145609567904,0.00930999876731,0.00521015497029,0.00872306593379,0.0123960594178,0.0108406640738,0.00784167006348,0.0129551855397,0.0102599110213,0.0108450046146,0.0149784070554,0.00289592414429,0.0120363716997,0.0182927047565,0.0140250650421,0.0126932383088,0.0126974656002,0.0122540342958,0.0147510545495,0.00836894785302,0.0112021301585,0.0155425628552,0.0106928284924,0.0133510562573,0.0127686214061,0.0133254885907,0.015052281606,0.0089311544167,0.0127474694034,0.0131235899713,0.0136193835055,0.0101282718337,0.0109841918332,0.011558547527,0.00816904426391,0.00876981473856,0.0146271646382,0.0155822557302,0.0102854062389,0.00594105397983,0.00966654779646,0.00909951064742,0.0187941527144,0.0136138042797,0.0108590922986,0.00772626579371
Q,-0.00760158626737,-0.00731403250248,-0.0115485637291,-0.00733381153812,-0.00812566437087,-0.00688277126182,-0.00819395279147,-0.00754956062074,-0.00972706949606,-0.00775033038876,-0.0121436691809,-0.0118261171979,-0.0103560818334,-0.0079390812123,-0.00935350816343,-0.0090976207955,-0.00774580749966,-0.0111581428541,-0.00859045004853,-0.00926262631881,-0.00710930014635,-0.0110811477089,-0.0141704692583,-0.00894609372609,-0.00613474691749,-0.0118403020684,-0.0143514275309,-0.0101753873275,-0.0120121983161,-0.0056838759714,-0.0105921670647,-0.00885437811127,-0.00865259454863,-0.0075173564818,-0.00581954658005,-0.0103832055972,-0.0107764370883,-0.0104181292231,-0.012340067324,-0.00913232946325,-0.010854971499,-0.00992933191222,-0.0102898151993,-0.00986330267977,-0.00576796384669,-0.0100446769173,-0.00778998909403,-0.00983264960738,-0.00840470936138,-0.00970935216962
R,0.0299577941566,0.0247886624029,0.0314248123648,0.0229354100585,0.0308519644998,0.00743929022061,0.0159524510636,0.0199796565766,0.0239448316609,0.0220113451203,0.0207140112114,0.0272680194681,0.0265205911903,0.0223535371031,0.0334778408945,0.0141413295167,0.0268912071606,0.0349041210212,0.0307588753633,0.0285382328079,0.0189480739402,0.0297244234218,0.0343587400158,0.021453729752,0.0261359555857,0.0296389762181,0.0239896132644,0.0302226698128,0.0280200151337,0.0203653384443,0.0331217069242,0.0204677143775,0.0293595577485,0.0259137507289,0.0288600767817,0.0219518776762,0.0242416378262,0.0284486534334,0.0152991428152,0.0197628447691,0.0327720217461,0.0301089555561,0.0246293409082,0.016989765697,0.0152144545257,0.0233408676297,0.0361091344277,0.0231957822315,0.0205286320708,0.0221195558031
S,-0.0283011486805,-0.0258536319033,-0.0229042186398,-0.0265831107884,-0.0272940075913,-0.0188169088123,-0.00844296930982,-0.0166310853967,-0.0196497715772,-0.0201399674378,-0.022831136683,-0.021847842397,-0.0249946966252,-0.0174149880905,-0.0237551614756,-0.018868963571,-0.0227505429914,-0.0271165580969,-0.0199144783886,-0.0271722248486,-0.019340424016,-0.0173725498989,-0.0196604464531,-0.0128396078303,-0.0200559124971,-0.0221991649767,-0.0251875444546,-0.0221589669651,-0.0239283908806,-0.0218763356767,-0.0213832294288,-0.0161039492254,-0.0146453805569,-0.020681189255,-0.0188778687439,-0.0178053263203,-0.0217571247418,-0.0207276682827,-0.0191676986883,-0.0183972469247,-0.0249032122156,-0.0202160284334,-0.0159211672805,-0.0162261483549,-0.0227018964644,-0.0175772018788,-0.0286690844171,-0.0237872382342,-0.0232083189089,-0.0160377826451
T,-0.0158349650207,-0.0162025577935,-0.0240239009484,-0.0180943424416,-0.0164936314605,-0.0134181805198,-0.0201940892865,-0.0203288628739,-0.0182277478693,-0.0197074417895,-0.0234605634365,-0.0217152039664,-0.0232736816118,-0.0188506747851,-0.019581978725,-0.0184979335049,-0.0187171401799,-0.0179479322018,-0.0184551424658,-0.0234913559496,-0.0190844665594,-0.0197731758943,-0.0191449026287,-0.0187939108117,-0.019091261352,-0.018195978325,-0.0195605329657,-0.0177487309052,-0.0206319407518,-0.0172988313725,-0.0200369812415,-0.0192964602428,-0.017757154856,-0.016053229039,-0.0197812468897,-0.0170161956956,-0.0173516360729,-0.0209231104881,-0.020572080622,-0.0181633072178,-0.0192214813125,-0.0179635275272,-0.0181509515014,-0.0186358647301,-0.0166286120136,-0.0206877115962,-0.0178839855495,-0.0207172356867,-0.0181888178947,-0.0169237989262
V,0.020056441298,0.020332353946,0.0189631445076,0.0144948262685,0.0187908193229,0.0117427084484,0.00798110580072,0.016262446864,0.0164865267405,0.0122098032744,0.0129412781859,0.0164206415781,0.0129862848121,0.0182751279118,0.018190165442,0.00901360063898,0.0171496456938,0.0238279491811,0.0190190642411,0.0186702742808,0.0208165846446,0.0211590843984,0.0273841204455,0.0136538501411,0.0166633342391,0.0211030908466,0.0180150461751,0.0191959028257,0.0204621871878,0.0181538706275,0.0240477222426,0.0138819617231,0.0176546121497,0.0152251823968,0.0159536590764,0.0157088059847,0.0197318116696,0.0217517342848,0.0163713555825,0.0201444474893,0.0192937490256,0.0247637128339,0.0173771572029,0.0121363458406,0.0137876009243,0.0166765977711,0.024824851655,0.017458726955,0.0162666735938,0.0160552361595
W,0.00724743827602,0.00803290683437,0.00755882779077,0.00582753278932,0.00731191027963,0.00508387724907,0.00555737441875,0.00607905308559,0.00635279150049,0.00790752468436,0.0057884069142,0.00708638631834,0.0067501699538,0.00657519021271,0.00823552523535,0.0046748877242,0.00587449317306,0.00756337530796,0.00765679133034,0.005865721695,0.00816085995921,0.0074064988844,0.00769445510843,0.00665203364783,0.00698780281818,0.00716524054081,0.00544065903064,0.006906984277,0.00718888072698,0.0077562178008,0.00715921750451,0.00527389987617,0.00723644996486,0.00739198988396,0.0080735174813,0.00567177562164,0.00655710648985,0.00669585901998,0.00564634129908,0.00554915894194,0.00895115292636,0.00747337973906,0.0066873492005,0.00470472457486,0.00746246370295,0.00636140412095,0.00785705028662,0.007482435669,0.0066724247963,0.00437161866924
Y,0.010119040231,0.0108448408834,0.012267776688,0.00963413905052,0.0111232732347,0.0123686905221,0.0146083144861,0.0111815569619,0.0129853517865,0.0141619147077,0.0117374963487,0.0133099701901,0.0110143749486,0.0111165264092,0.0148305807593,0.0133921610321,0.0103401282301,0.00710526628161,0.0107531815625,0.0100730213435,0.0116156249681,0.0124960725712,0.0116387940596,0.0141700909312,0.0131468449787,0.0140782958341,0.0142514816596,0.0127419113823,0.0124176917319,0.0113642728074,0.0105556792812,0.012980263792,0.0139053921139,0.0128043021368,0.0141174397011,0.0125016531791,0.0117241540504,0.00961433374708,0.0168202349269,0.0099134984677,0.0111267744062,0.00877646948952,0.0112343016373,0.0132381930254,0.00904972667977,0.0104872637277,0.00831784636118,0.0135862889917,0.0135807859451,0.0137388686454
