taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
999630,90.0,0,Thermoproteus uzoniensis 768-20,Thermoproteus_uzoniensis,GCA_000193375.1_ASM19337v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus
572478,87.0,0,Vulcanisaeta distributa DSM 14429,Vulcanisaeta_distributa,GCA_000148385.1_ASM14838v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
1316941,75.0,0,Archaeoglobus sulfaticallidus,Archaeoglobus_sulfaticallidus,GCA_000385565.1_ASM38556v1,Euryarchaeota,Archaeoglobi,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
693661,80.0,0,Archaeoglobus veneficus SNP6,Archaeoglobus_veneficus,GCA_000194625.1_ASM19462v1,Euryarchaeota,Archaeoglobi,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
572546,82.0,0,Archaeoglobus profundus DSM 5631,Archaeoglobus_profundus,GCA_000025285.1_ASM2528v1,Euryarchaeota,Archaeoglobi,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
224325,83.0,0,Archaeoglobus fulgidus DSM 4304,Archaeoglobus_fulgidus,GCA_000008665.1_ASM866v1,Euryarchaeota,Archaeoglobi,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
589924,85.0,0,Ferroglobus placidus DSM 10642,Ferroglobus_placidus,GCA_000025505.1_ASM2550v1,Euryarchaeota,Archaeoglobi,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus
367189,27.0,0,Haladaptatus paucihalophilus,Haladaptatus_paucihalophilus,GCA_000187225.2_ASM18722v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus
453847,37.0,0,Haladaptatus cibarius,Haladaptatus_cibarius,GCA_000710615.1_HAPD43.1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus
795797,41.0,0,Halalkalicoccus jeotgali B3,Halalkalicoccus_jeotgali,GCA_000196895.1_ASM19689v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus
1457250,37.0,0,Halapricum salinum,Halapricum_salinum,GCA_000755225.1_ASM75522v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halapricum
489138,37.0,0,Halarchaeum acidiphilum,Halarchaeum_acidiphilum,GCA_000474235.1_ASM47423v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum
244363,37.0,0,Haloarcula californiae,Haloarcula_californiae,GCA_000337755.1_ASM33775v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
634497,37.0,0,Haloarcula hispanica ATCC 33960,Haloarcula_hispanica,GCA_000223905.1_ASM22390v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
35742,37.0,0,Haloarcula sinaiiensis,Haloarcula_sinaiiensis,GCA_000337275.1_ASM33727v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
